tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972013::Inflamed","B_cell::MZ",27,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0103806228373702,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","B_cell::Naïve B",367,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.141099577085736,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Endothelial",81,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0311418685121107,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Epithelial",40,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0153787004998078,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Mast",9,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.00346020761245675,FALSE,"low_cell_count"
"GSE134809::GSM3972013::Inflamed","Mesenchymal_stromal",60,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0230680507497117,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Myeloid",445,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.171088043060361,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Plasma::Activated plasma",51,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0196078431372549,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Plasma::IgA plasma",252,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.0968858131487889,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Plasma::IgG plasma",294,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.113033448673587,TRUE,"adequate_cell_count"
"GSE134809::GSM3972013::Inflamed","Plasma::Transitional B",4,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.00153787004998078,FALSE,"low_cell_count"
"GSE134809::GSM3972013::Inflamed","T_NK",683,"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed",2601,1,0.262591311034218,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::ActB3",4,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00193798449612403,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::CSM",44,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0213178294573643,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::Centroblast B",0,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972014::Non-inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0,FALSE,"absent_zero_cells"
