dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","B_cell::Centroblast B","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centroblast B","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centroblast B","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Mast","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centroblast B","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centroblast B","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
