dataset,donor,donor_ID,status,tissue_sample_id,n_total_cells,n_tissue_samples_same_donor_status,sender,receiver,n_sender,n_receiver,count_eligible,reason,min_cells_required
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::DN2","Mesenchymal_stromal",0,1,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::DN2","Myeloid",0,10,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::DN2","T_NK",0,120,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","Endothelial",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","Epithelial",0,1036,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","Mast",0,7,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","Mesenchymal_stromal",0,1,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","Myeloid",0,10,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::IgM-only","T_NK",0,120,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","Endothelial",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","Epithelial",0,1036,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","Mast",0,7,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","Mesenchymal_stromal",0,1,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","Myeloid",0,10,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::MZ","T_NK",0,120,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","Endothelial",2,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","Epithelial",2,1036,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","Mast",2,7,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","Mesenchymal_stromal",2,1,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","Myeloid",2,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"B_cell::Naïve B","T_NK",2,120,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","Endothelial",11,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","Epithelial",11,1036,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","Mast",11,7,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","Mesenchymal_stromal",11,1,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","Myeloid",11,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Activated plasma","T_NK",11,120,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","Endothelial",33,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","Epithelial",33,1036,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","Mast",33,7,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","Mesenchymal_stromal",33,1,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","Myeloid",33,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgA plasma","T_NK",33,120,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","Endothelial",3,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","Epithelial",3,1036,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","Mast",3,7,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","Mesenchymal_stromal",3,1,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","Myeloid",3,10,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::IgG plasma","T_NK",3,120,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","Endothelial",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","Epithelial",0,1036,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","Mast",0,7,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","Mesenchymal_stromal",0,1,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","Myeloid",0,10,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Plasma::Transitional B","T_NK",0,120,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::ActB3",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::CSM",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::Centroblast B",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::Centrocyte B",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::DN2",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::IgM-only",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::MZ",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","B_cell::Naïve B",0,2,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","Plasma::Activated plasma",0,11,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","Plasma::IgA plasma",0,33,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","Plasma::IgG plasma",0,3,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Endothelial","Plasma::Transitional B",0,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::ActB3",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::CSM",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::Centroblast B",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::Centrocyte B",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::DN2",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::IgM-only",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::MZ",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","B_cell::Naïve B",1036,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","Plasma::Activated plasma",1036,11,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","Plasma::IgA plasma",1036,33,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","Plasma::IgG plasma",1036,3,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Epithelial","Plasma::Transitional B",1036,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::ActB3",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::CSM",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::Centroblast B",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::Centrocyte B",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::DN2",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::IgM-only",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::MZ",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","B_cell::Naïve B",7,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","Plasma::Activated plasma",7,11,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","Plasma::IgA plasma",7,33,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","Plasma::IgG plasma",7,3,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mast","Plasma::Transitional B",7,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::ActB3",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::CSM",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::Centroblast B",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::Centrocyte B",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::DN2",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::IgM-only",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::MZ",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","B_cell::Naïve B",1,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","Plasma::Activated plasma",1,11,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","Plasma::IgA plasma",1,33,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","Plasma::IgG plasma",1,3,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Mesenchymal_stromal","Plasma::Transitional B",1,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::ActB3",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::CSM",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::Centroblast B",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::Centrocyte B",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::DN2",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::IgM-only",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::MZ",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","B_cell::Naïve B",10,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","Plasma::Activated plasma",10,11,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","Plasma::IgA plasma",10,33,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","Plasma::IgG plasma",10,3,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"Myeloid","Plasma::Transitional B",10,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::ActB3",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::CSM",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::Centroblast B",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::Centrocyte B",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::DN2",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::IgM-only",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::MZ",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","B_cell::Naïve B",120,2,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","Plasma::Activated plasma",120,11,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","Plasma::IgA plasma",120,33,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","Plasma::IgG plasma",120,3,FALSE,"low_cell_count",20
"GSE134809","GSM3972012","GSE134809::GSM3972012","Non-inflamed","GSE134809::GSM3972012::Non-inflamed",1223,1,"T_NK","Plasma::Transitional B",120,0,FALSE,"absent_population",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","Endothelial",14,81,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","Epithelial",14,40,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","Mast",14,9,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","Mesenchymal_stromal",14,60,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","Myeloid",14,445,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::ActB3","T_NK",14,683,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","Endothelial",186,81,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","Epithelial",186,40,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","Mast",186,9,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","Mesenchymal_stromal",186,60,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","Myeloid",186,445,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::CSM","T_NK",186,683,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","Endothelial",18,81,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","Epithelial",18,40,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","Mast",18,9,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","Mesenchymal_stromal",18,60,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","Myeloid",18,445,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centroblast B","T_NK",18,683,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","Endothelial",2,81,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","Epithelial",2,40,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","Mast",2,9,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","Mesenchymal_stromal",2,60,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","Myeloid",2,445,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::Centrocyte B","T_NK",2,683,FALSE,"low_cell_count",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::DN2","Endothelial",23,81,TRUE,"adequate_cell_counts",20
"GSE134809","GSM3972013","GSE134809::GSM3972013","Inflamed","GSE134809::GSM3972013::Inflamed",2601,1,"B_cell::DN2","Epithelial",23,40,TRUE,"adequate_cell_counts",20
